IP,/faq.html,/index.html
109.192.104.209,0,1
109.192.104.86,0,1
109.192.109.233,1,0
109.192.111.243,0,1
109.192.117.151,0,1
109.192.121.165,1,0
109.192.135.2,0,1
109.192.138.239,1,0
109.192.143.138,1,0
109.192.147.1,1,0
109.192.156.94,0,1
109.192.159.149,0,1
109.192.163.11,1,0
109.192.167.241,0,1
109.192.17.160,1,0
109.192.173.8,0,1
109.192.174.205,1,0
109.192.177.231,0,1
109.192.185.107,0,1
109.192.185.202,0,1
109.192.185.246,0,1
109.192.190.142,1,0
109.192.192.254,1,0
109.192.193.231,1,0
109.192.2.55,0,1
109.192.201.181,1,0
109.192.203.86,0,1
109.192.208.90,1,0
109.192.216.154,0,1
109.192.219.138,0,1
109.192.219.206,1,0
109.192.226.189,1,0
109.192.227.235,0,1
109.192.228.189,0,1
109.192.236.153,0,1
109.192.243.70,0,1
109.192.249.173,0,1
109.192.254.16,1,0
109.192.34.3,0,1
109.192.36.123,0,1
109.192.43.216,0,1
109.192.51.131,0,1
109.192.60.200,1,0
109.192.61.175,1,0
109.192.62.181,0,1
109.192.69.221,0,1
109.192.7.30,0,1
109.192.87.121,0,1
109.192.89.57,0,1
109.192.90.41,1,0
109.84.1.133,0,1
109.84.100.85,0,1
109.84.102.197,0,1
109.84.104.41,0,1
109.84.105.26,0,1
109.84.107.109,0,1
109.84.108.144,0,1
109.84.108.66,0,1
109.84.11.239,0,1
109.84.113.122,1,0
109.84.114.159,0,1
109.84.114.56,0,1
109.84.114.58,1,0
109.84.116.193,1,0
109.84.116.59,1,0
109.84.122.165,0,1
109.84.122.254,0,1
109.84.126.177,0,1
109.84.129.210,0,1
109.84.129.226,1,0
109.84.13.236,0,1
109.84.13.237,0,1
109.84.131.112,0,1
109.84.132.199,0,1
109.84.133.16,0,1
109.84.138.18,0,1
109.84.140.18,0,1
109.84.142.194,1,0
109.84.143.54,0,1
109.84.146.215,0,1
109.84.149.206,1,0
109.84.153.106,0,1
109.84.153.93,1,0
109.84.155.224,0,1
109.84.157.233,1,0
109.84.160.162,1,0
109.84.17.211,1,0
109.84.171.122,1,0
109.84.172.181,1,0
109.84.175.176,0,1
109.84.177.226,0,1
109.84.178.91,0,1
109.84.182.202,1,0
109.84.183.228,0,1
109.84.186.112,0,1
109.84.186.67,0,1
109.84.189.179,0,1
