id_berita,kategori,judul,isi_berita,link
153069,Jatim,Komisi II DPRD Tuban dan PT PRPP Gelar Raker soal CSR Beasiswa,"TUBAN,BANGSAONLINE.com- Komisi II DPRD Tuban bersama sejumlah OPD, PT Pertamina Rosneft Pengolahan dan Petrokimia (PRPP) menggelar Rapat Kerja (Raker) dengan wali murid penerima program beasiswa pendidikan dari PRPP di ruang Paripurna gedung DPRD Tuban, Rabu (1/10/2025) sore. Rapat tersebut dipimpin langsung ketua Komisi II DPRD Tuban, Fahmi Fikroni beserta beberapa anggota. Turut hadir langsung Plt Presiden Direktur PT PRPP Sigit Pradjaka Sugestihanto didampingi Sr. Officer CSR PRPP, Yuli Witantra. Raker yang digelar mulai pukul 14.00 WIB hingga seledai pukul 17.00 WIB tersebut fokus membahas dua poin utama persolan Program Beasiswa Pendidikan Setara D3 PEM Akamigas yamg merupakan salah satu komitmen PRPP untuk mengembangkan masyarakat sekitar.  Fahmi Fikroni menjelaskan, terdapat dua tuntutan utama dari para mahasiswa penerima beasiswa pendidikan dari PRPP. Pertama, terkait kelanjutan pendidikan D4 di PEM Akamigas. Pasalnya, beasiswa yang diberikan saat ini hanya sampai ke jenjang D3. Sementara D3 tidak bisa mendapat ijazah dari Dikti. ""Para mahasiswa menuntut untuk melanjutkan pendidikan D4, karena selama mereka hanya bisa diakui jika lulus D4. Kalau D3 masih tidak jelas. Alhamdulillah, PT PRPP telah menyepakati untuk melanjutkan proses D4,"" jelas Roni. Poin ke dua, lanjut Roni, tuntutan terkait perekrutan tenaga kerja. ""Para mahasiswa mengharapkan untuk dipekerjakan langsung setelah lulus, seperti yang pernah dilakukan oleh PT Pertamina Rosnef pada tahun 2019. Namun, pihak PT PRPP menyatakan bahwa situasi saat ini berbeda karena sekarang mereka beroperasi di bawah PT PRPP, bukan langsung dari aset seperti sebelumnya,"" tandasnya. Namun demikian tuntutan tersebut belum bisa dijawab pasti oleh pihak PRPP. ""Tuntutan mengenai perekrutan kerja masih belum bisa dijawab karena bukan wewenang mereka dan perlu dikomunikasikan lebih lanjut,"" beber Roni. Disampaikan Roni, harapan dari pihak mahasiswa adalah agar tuntutan-tuntutan ini dapat dikabulkan. Mengingat, CSR pendidikan yang diberikan oleh PRPP telah terbukti mampu mendidik dan mempekerjakan lulusan di Kabupaten Tuban. ""Pihak mahasiswa berharap ada pertemuan lanjutan untuk membahas hal ini lebih lanjut,"" tegasnya. Sementara itu, Sr. Officer CSR PRPP, Yuli Witantra menjelaska bahwa program Beasiswa Pendidikan Setara D3 PEM Akamigas merupakan salah satu komitmen PRPP untuk mengembangkan masyarakat sekitar.  Menurutnya, program beasiswa yang dijalankan merupakan program yang fokus pada peningkatan pendidikan masyarakat Tuban secara umum dan sekitar area Proyek GRR Tuban di Kecamatan Jenu secara khusus, bukan merupakan program rekrutmen. ""Hal ini sudah kami sampaikan ketika sosialisasi program dan dituangkan ke dalam kontrak dengan masing-masing penerima beasiswa,"" beber Yuli. Dalam pelaksanaan kegiatan tersebut, PRPP bekerja sama dengan PEM Akamigas Cepu, lembaga dengan reputasi yang tinggi dalam penyediaan pendidikan vokasi di bidang minyak dan gas bumi.  ""Sebagai tindak lanjut program ini dan juga harapannya menjadi nilai tambah bagi kompetensi siswa, maka PRPP dan PT KPI menawarkan beasiswa lanjutan pendidikan D4 kepada para penerima beasiswa D3 terutama yang belum mendapatkan pekerjaan,"" jlentreh Yuli. Sehingga dengan adanya ijazah D4 atau Strata 1 Ilmu Terapan, para siswa memiliki nilai tambah lebih sebagai seorang tenaga ahli yang dapat memilih karir di masa depan sesuai dengan keinginan dan harapan. ""Sehubungan dengan tindak lanjut pendidikan D4 tersebut, dapat kami informasikan bahwa sudah berkoordinasi dengan PEM Akamigas untuk mendiskusikan hal ini,"" jelas Yuli. Namun pada dasarnya, kata Yuli, pihak PEM Akamigas menyambut baik hal ini menyatakan siap membantu penerima beasiswa PRPP untuk melanjutkan pendidikan D4 ini mulai tahun ajaran 2025/2026 ini. Harapannya mereka dapat lulus dan wisuda pada pertengahan tahun 2026. Sementara terkait rekrutmen langsung tenaga kerja, Yuli mengaku jika pihak manajemen akan mencari solusi. ""Nanti manajemen akan cari solusi terbaik,"" tutupnya.(coi/van)",https://bangsaonline.com/berita/153069/komisi-ii-dprd-tuban-dan-pt-prpp-gelar-raker-soal-csr-beasiswa
153068,Jatim,RLD Gelar Pelatihan Ajarkan Pelaku UMKM Membangun Jejak Digital,"SURABAYA,BANGSAONLINE.com- Rumah Literasi Digital (RLD) Surabaya menggelar pelatihan intensif digital marketing bertajuk 'Membangun Jejak Digital UMKM 'Kolaborasi untuk Negeri' pada 30 September 2025. Pelatihan yang diikuti puluhan peserta dengan berbagai produk ini menghadirkan sejumlah praktisi digital dan pelaku usaha sukses sebagai pemateri, dengan tujuan memperkuat kapasitas pelaku UMKM dalam bersaing di era digital. Pelatihan ini memberikan pemahaman mendalam kepada para pelaku UMKM bahwa kehadiran di media sosial bukan sekadar untuk ""jualan cepat"", melainkan sebagai etalase produk yang membutuhkan strategi dan pengelolaan yang tepat.  Berbagai strategi membangun jejak digital dibahas secara komprehensif, mulai dari membangun identitas digital yang unik, menciptakan kehadiran online yang konsisten, membuat konten yang menarik, membangun interaksi yang positif, meningkatkan kredibilitas, hingga penerapan strategi pemasaran digital melalui Search Engine Optimization (SEO). Praktisi digital, Fatkhur Rohman, menegaskan pentingnya identitas digital yang jelas sebagai fondasi utama bagi UMKM di era digital. ""Identitas digital adalah pintu masuk agar konsumen mudah mengenali produk maupun jasa yang ditawarkan,"" ujarnya, Rabu (1/10/2025). Kata dia, sekadar nampang di media sosial saja tidak cukup. Partok juga menuturkan bahwa etalase di medsos bukan untuk mempercepat jualan, namun sangat penting untuk membangun reputasi.  Sesi lainnya diisi oleh Andika Ismawan yang membahas pembuatan narasi dan strategi SEO di media sosial, termasuk pemanfaatan kecerdasan buatan seperti ChatGPT untuk menyusun prompt yang efektif. Anggota Pewarta Foto Indonesia (PFI) Surabaya, Ali Masduki, juga memberikan materi tentang fotografi produk. Ia memaparkan pentingnya visual yang kuat agar etalase produk dapat bersaing di tengah banjir konten digital. Selanjutnya konten kreator Naufal Ammar Imaduddin memandu peserta dalam membuat video singkat untuk media sosial dengan memanfaatkan konsep yang dibuat melalui platform AI seperti ChatGPT. Pelatihan ini semakin lengkap dengan hadirnya Isnan Effendi, seorang pedagang online sukses asal Surabaya, yang berbagi pengalamannya dalam memanfaatkan fitur live TikTok sebagai sarana berjualan sekaligus membangun kedekatan dengan konsumen.",https://bangsaonline.com/berita/153068/rld-gelar-pelatihan-ajarkan-pelaku-umkm-membangun-jejak-digital
153086,Jatim Metro,Baznas Salurkan Rp300 Juta untuk Rekonstruksi Musala Ponpes Al Khoziny Sidoarjo,"SURABAYA, BANGSAONLINE.com- Baznas RI menyalurkan bantuan awal sebesar Rp300 juta dan mengerahkan Tim Baznas Tanggap Bencana (BTB) untuk membantu proses rekonstruksi Musala Pondok Pesantren (Ponpes) Al Khoziny yang ambruk saat Salat Ashar berjamaah. Musibah tragis tersebut terjadi ketika ratusan santri sedang melaksanakan ibadah, sementara di lantai atas bangunan musala tengah dilakukan pengecoran. Beban berlebih diduga menjadi penyebab runtuhnya konstruksi. Ketua Baznas RI, KH. Noor Achmad, menyampaikan keprihatinan mendalam atas kejadian tersebut dan menegaskan komitmen Baznas untuk mendampingi pesantren selama masa darurat hingga pemulihan.  “Peristiwa ini sangat mengguncang, apalagi terjadi di tengah ibadah. Kami hadir langsung ke lokasi sebagai bentuk empati dan komitmen BAZNAS untuk mendampingi para korban dan pihak pesantren. Bantuan awal Rp300 juta kami salurkan hari ini, dan Tim BTB sudah bergerak sejak awal kejadian,” ujarnya saat mengunjungi Musala Ponpes Al Khoziny, Selasa (30/9/2025). Baznas juga terus berkoordinasi dengan pemerintah daerah, BPBD, tenaga medis, dan relawan untuk memastikan proses evakuasi dan penanganan korban berjalan optimal. “Fokus utama kami saat ini adalah membantu penyelamatan dan penanganan korban luka-luka. Selanjutnya, kami akan pastikan proses rehabilitasi dan rekonstruksi berjalan sesuai kebutuhan pesantren dan para santri,” imbuhnya.  Ia menekankan pentingnya penerapan standar keamanan dalam pembangunan fasilitas pendidikan dan keagamaan, dengan keselamatan santri sebagai prioritas utama. “Meskipun demikian, kita tidak menyalahkan siapapun atas musibah tersebut karena pembangunan pesantren seringkali berjalan karena semangat keberaamaan yang besar,” tuturnya. Ia juga menyampaikan belasungkawa atas wafatnya korban dan berharap proses evakuasi korban yang masih tertimbun dapat segera dilakukan. “Kami ikut belasungkawa yang mendalam atas wafatnya korban dan semoga korban yang masih tertimbun dapat segera dievakuasi dalam keadaan selamat, dan kami berharap keluarga yang ditinggalkan dapat sabar dan tawakal,” pungkasnya. (ari/mar)",https://bangsaonline.com/berita/153086/baznas-salurkan-rp300-juta-untuk-rekonstruksi-musala-ponpes-al-khoziny-sidoarjo
153067,Jatim Metro,Senator Lia Istifhama Turut RasakanDuka Para Wali Santri Al Khoziny,"SURABAYA,BANGSAONLINE.com- Bangunan musala lantai tiga Pondok Pesantren Al Khoziny, Siwalan Panji, Buduran, Sidoarjo roboh saat digunakan ratusan santri melaksanakan salat Ashar berjamaah, Senin (29/9/2025), lalu. Hingga berita ini dimuat, proses evakuasi masih terus dilakukan akibat terdapat santri yang masih tertimbun puing bangunan. Senator Lia Istifhama menyampaikan keprihatinan mendalam atas musibah tersebut. Tercatat hingga hari ini sudah 4 santri ditemukan meninggal dunia dan puluhan santri tertimbun reruntuhan.  “Gubernur, wagub, Sekdaprov, BNPB, dan BPBD menunjukkan kekompakan dan kepedulian tinggi yang sangat mengharukan kita semua. Beliau-beliau menunjukkan bahwa ini duka kita bersama, bukan sebatas duka para wali santri, karena ini menimpa santri-santri yang memiliki niat mulia mencari ilmu,"" ujar Ning Lia, dalam keterangannya, Rabu (1/10/2025). Lia mengungkapkan, sebagai seorang ibu yang juga memiliki anak yang tengah menempuh pendidikan pesantren ikut merasakan kepedihan dan duka mendalam.  Ia sebagai orang tua, sebagai wali santri juga menahan rindu selama anak-anak menempuh pendidikan di sebuah pesantren. Maka kabar duka seperti ini, baginya yang bukan wali santri di ponpes tersebut, ikut merasakan kesedihan mendalam. ""Karena santri adalah pencari ilmu, mereka pelita atau cahaya kehidupan. Ini cobaan yang begitu mendalam bagi kita semua,"" pungkasnya.(mdr/van)",https://bangsaonline.com/berita/153067/senator-lia-istifhama-turut-rasakanduka-para-wali-santri-al-khoziny
153053,Jatim Tengah,"Hadiri Pengukuhan Pengurus Kormi Kota Kediri, Gus Qowim Dorong Olahraga untuk Semua Usia","KOTA KEDIRI, BANGSAONLINE.com- Wakil Wali Kota Kediri, Qowimuddin Thoha atau yang akrab disapa Gus Qowim, menghadiri pengukuhan pengurus Komite Olahraga Masyarakat Indonesia (Kormi) periode 2025-2029, Rabu (1/10/2025). Pengukuhan dilakukan oleh Plt Ketua Kormi Jatim, Andun Sudjiatmoko. Abdian Asgi Sukmana kembali dipercaya sebagai Ketua Kormi Kota Kediri untuk periode kedua. ""Selamat dan sukses atas dikukuhkan kembali Ketua Kormi Kota Kediri periode 2025-2029 Bapak Abdian Asgi Sukmana beserta jajaran pengurus. Saya juga sampaikan terima kasih atas berbagai dedikasi dan perjuangan segenap pengurus KORMI yang telah membawa organisasi ini meraih banyak prestasi,"" kata Gus Qowim.  Ia menambahkan, meski baru aktif selama 6 tahun, Kormi Kota Kediri telah berpartisipasi dalam berbagai kompetisi tingkat nasional dan internasional. Salah satu prestasi yang dibanggakan adalah keikutsertaan dalam ajang Tafisa Internasional dengan membawa olahraga tradisional khas Kediri, Takraw Keronjang. Saat ini, Kormi Kota Kediri menaungi 24 induk organisasi olahraga, mulai dari pushbike, Komunitas Sepeda Tua Indonesia, hingga senam tera.  Menurut Gus Qowim, keberagaman ini menunjukkan bahwa olahraga relevan untuk semua usia dan menjadi wadah penting bagi para atlet untuk terus berprestasi. ""Mari kita jadikan momentum ini sebagai penyemangat untuk memasyarakatkan olahraga dan mengolahragakan masyarakat. Serta membangun Kota Kediri yang MAPAN,"" tuturnya. Usai pengukuhan, dilakukan penyerahan pataka dari Plt Ketua Kormi Jatim kepada Ketua Kormi Kota Kediri, dilanjutkan dengan penyematan jaket oleh Wakil Wali Kota Kediri sebagai simbol dukungan dan semangat baru bagi kepengurusan yang baru dikukuhkan. (uji/mar)",https://bangsaonline.com/berita/153053/hadiri-pengukuhan-pengurus-kormi-kota-kediri-gus-qowim-dorong-olahraga-untuk-semua-usia
153083,Jatim Tengah,"Teguhkan Komitmen Kebangsaan, Polres Kediri Kota Gelar Upacara Hari Kesaktian Pancasila","KEDIRI, BANGSAONLINE.com- Polres Kediri Kota menggelar upacara dalam rangka memperingati Hari Kesaktian Pancasila, Rabu (1/10/2025). Upacara berlangsung khidmat, tertib, serta penuh makna. Kapolres Kediri Kota, AKBP Anggi Saputra Ibrahim, bertindak sebagai Inspektur Upacara. Jajaran pejabat utama Polres dan para Kapolsek turut hadir mendukung jalannya prosesi. Peserta upacara terdiri dari berbagai peleton satuan Polres Kediri Kota, meliputi perwira, Sabhara, Lalu Lintas, Intelkam, Reskrim, Narkoba, gabungan staf, Polsek jajaran, Polwan, serta ASN.  Dengan mengusung tema 'Pancasila Perekat Bangsa Menuju Indonesia Raya', peringatan tahun ini menjadi pengingat pentingnya menjaga persatuan dalam keberagaman dan meneguhkan Pancasila sebagai dasar negara yang menyatukan seluruh elemen bangsa. Kapolres Kediri Kota menegaskan bahwa Hari Kesaktian Pancasila merupakan momentum strategis untuk memperkuat semangat kebangsaan dan komitmen Polri dalam mengawal ideologi negara.  ""Pancasila adalah dasar negara, jiwa pemersatu bangsa yang harus senantiasa kita jaga dan amalkan dalam kehidupan sehari-hari, termasuk dalam menjalankan tugas sebagai pelindung, pengayom, dan pelayan masyarakat,"" ucapnya. Upacara berlangsung hingga selesai dengan penuh kedisiplinan dan kekompakan dari seluruh peserta, sebagai bentuk penghormatan terhadap nilai-nilai Pancasila yang menjadi pondasi kehidupan berbangsa dan bernegara. (uji/mar)",https://bangsaonline.com/berita/153083/teguhkan-komitmen-kebangsaan-polres-kediri-kota-gelar-upacara-hari-kesaktian-pancasila
153062,Jatim Utara,Polres Tuban Catat 31 Rumah di 2 Desa Rusak Akibat Puting Beliung,"TUBAN,BANGSAONLINE.com- Angin puting beliung disertai hujan deras menghantam puluhan rumah di wilayah Kecamatan Singgahan, pada Senin (29/9/2025) siang. Dua desa yang terdampak cukup parah, yaitu di Desa Tanjungrejo dan Desa Mergosari. Akibat kejadian itu, 37 bangunan rumah dan sekolah mengalami kerusakan, sebagian besar pada bagian atap.  Sebab, beberapa pohon tumbang dan menimpa rumah serta menutup akses jalan. Beruntung, peristiwa ini tidak menelan korban jiwa. Berdasarkan data Polres Tuban, tercatat 28 rumah di Desa Tanjungrejo dan 9 rumah di Desa Mergosari mengalami kerusakan dengan tingkat berbeda-beda. “Syukur tidak ada korban jiwa, hanya kerugian materi,” ujar Kapolres Tuban, AKBP William Cornelis Tanasale, Rabu (1/10/2025). Pascabencana, aparat gabungan dari Polres Tuban, Polsek Singgahan, TNI, dan BPBD bersama warga langsung diterjunkan ke lokasi untuk membantu pemulihan.  Kehadiran mereka, kata Kapolres, merupakan bentuk tanggung jawab negara dalam mendampingi masyarakat. “Kami hadir di sini untuk memastikan warga tidak sendirian menghadapi musibah ini,” ucapnya. Sementara itu, Kepala Pelaksana BPBD Tuban, Sudarmadji, menuturkan bahwa penanganan awal difokuskan pada perbaikan rumah warga agar segera bisa dihuni kembali. “Untuk fasilitas umum yang terdampak akan kami lakukan asesmen terlebih dahulu sebelum dibenahi. Hari ini prioritasnya adalah pemulihan rumah warga,” jelasnya.(van)",https://bangsaonline.com/berita/153062/polres-tuban-catat-31-rumah-di-2-desa-rusak-akibat-puting-beliung
153045,Jatim Utara,Begini Cara BPJS Kesehatan Bayar Biaya Kesehatan Peserta di Rumah Sakit,"GRESIK,BANGSAONLINE.com- Setiap bulan, rumah sakit mendokumentasikan semua data peserta BPJS Kesehatan yang sudah berobat sesuai dengan pelayanan kesehatan yang dilakukan. Seluruh kelengkapan data dan berkas dirapikan untuk dijadikan dokumen klaim. Kepala BPJS Kesehatan Kantor Cabang Gresik, Janoe Tegoeh Prasetijo menjelaskan bahwa dokumen klaim tersebut untuk dimasukkan ke Sistem Informasi BPJS Kesehatan. “Bahasa mudahnya, ini seperti tagihan dari rumah sakit. Dari tagihan tersebut, kami melakukan verifikasi dokumen klaim antara lain Surat Eligibilitas Peserta (SEP), bukti pelayanan rawat jalan atau rawat inap, rincian pelayanan kesehatan berikut hasil pemeriksaan penunjang. Semua dokumen ini diajukan secara kolektif kepada BPJS Kesehatan, setelah dinyatakan lengkap dan benar sesuai ketentuan tata kelola administrasi klaim yang berlaku, maka dapat dilakukan pembayaran klaim.” terang Janoe, Rabu (1/10/2025).  Janoe menjelaskan, dokumen klaim dinyatakan lengkap sesuai jumlah yang ditagihkan dituangkan dalam berita acara kelengkapan berkas klaim selambatnya 10 hari setelah dokumen klaim diterima. Berikutnya dilakukan verifikasi administrasi dan kesesuaian penjaminan manfaat pelayanan kesehatan yang membutuhkan waktu maksimal 15 hari kalender untuk kemudian dilakukan pembayaran klaim. Verifikasi ini bertujuan memastikan kelengkapan berkas, keabsahan dokumen yang diperlukan, serta kesesuaian layanan dengan ketentuan yang berlaku.  Perlu diketahui, terdapat empat status klaim setelah diverifikasi oleh BPJS Kesehatan, Pertama layak, kedua pending, ketiga dispute, dan yang terakhir tidak layak, ujarnya. Janoe menerangkan, untuk klaim dengan status layak, artinya dokumen klaim lengkap dan sesuai ketentuan penjaminan. Sedangkan untuk klaim dengan status pending, yakni kondisi dimana masih terdapat dokumen klaim yang perlu dikonfirmasi ke pihak rumah sakit dan dapat diajukan kembali setelah mendapatkan jawaban konfirmasi.",https://bangsaonline.com/berita/153045/begini-cara-bpjs-kesehatan-bayar-biaya-kesehatan-peserta-di-rumah-sakit
153056,Jatim Selatan,BPJS Kesehatan Pastikan Pembayaran Klaim Tepat Waktu dan Transparan,"TULUNGAGUNG, BANGSAONLINE.com- BPJS Kesehatan menjamin pembayaran klaim rumah sakit mitra dilakukan secara tepat waktu dan transparan. Kebijakan ini menjadi kunci kelancaran pelayanan bagi peserta JKN atau Jaminan Kesehatan Nasional, sekaligus menjaga stabilitas arus kas rumah sakit. Kepala BPJS Kesehatan Cabang Tulungagung, Fitriyah Kusumawati, menyampaikan bahwa selama ini pembayaran klaim dilakukan sesuai ketentuan dan tidak pernah mengalami gagal bayar. Bahkan, rata-rata klaim dibayarkan lebih cepat dari batas waktu maksimal. ""Kami pastikan seluruh berkas klaim yang diajukan Fasilitas Kesehatan Rujukan Tingkat Lanjut (FKRTL) akan diproses dan dibayarkan paling cepat pada hari ke-13 dan paling lambat hari ke-15 sejak diterbitkannya Berita Acara Kelengkapan Berkas Klaim. Jadi rumah sakit tidak perlu khawatir, selama ini tidak pernah ada gagal bayar,"" paparnya pada Selasa (23/9/2025).  Ia menekankan, kecepatan pembayaran klaim sangat memengaruhi keberlangsungan layanan kesehatan bagi jutaan peserta JKN. Oleh karena itu, BPJS Kesehatan mendorong rumah sakit untuk rutin mengajukan klaim setiap bulan atau N+1 dari bulan pelayanan agar prosesnya lebih cepat. ""Kunci percepatan pembayaran klaim adalah kelengkapan dokumen yang diajukan. Semakin cepat rumah sakit mengajukan berkas lengkap, semakin cepat pula klaim diproses dan dibayarkan,"" ucap Fitri. Ia juga menjelaskan 3 kategori klaim dalam proses verifikasi BPJS Kesehatan, yakni: - Klaim pending: dikembalikan ke rumah sakit karena membutuhkan konfirmasi tambahan.  - Klaim dispute: belum ada kesepakatan antara BPJS dan rumah sakit, biasanya terkait pengkodean diagnosa, aspek medis, harga obat, atau potensi fraud. - Klaim tidak layak: tidak memenuhi syarat teknis atau administratif, termasuk pelayanan di luar penjaminan JKN atau klaim yang sudah kedaluwarsa lebih dari enam bulan. Untuk meningkatkan transparansi, proses pembayaran klaim dilakukan melalui sistem digital Portal Informasi Faskes (PIF) di laman resmi BPJS Kesehatan. Melalui sistem ini, rumah sakit dapat memantau status klaim, pencairan uang muka, dan pemanfaatan layanan secara real time. ""Transparansi pembiayaan dan sistem pembayaran adalah bentuk komitmen kami. BPJS Kesehatan terus berupaya menjaga mutu layanan dan melakukan perbaikan agar peserta JKN mendapatkan pelayanan kesehatan yang mudah, cepat, dan setara,"" kata Fitri. Sebagai tambahan, BPJS Kesehatan juga menyediakan mekanisme Uang Muka Pelayanan (UMP) untuk menjaga kelancaran operasional rumah sakit. Fasilitas ini memungkinkan rumah sakit tetap memberikan layanan meskipun proses verifikasi klaim belum selesai. ""Dengan UMP, rumah sakit tidak perlu khawatir. Operasional tetap bisa berjalan sambil menunggu verifikasi klaim tuntas. Rumah sakit bisa mengajukan UMP sesuai nilai dalam Berita Acara Kelengkapan Berkas Klaim, dengan mempertimbangkan capaian Indikator Kepatuhan FKRTL,"" urai Fitri. (fer/mar)",https://bangsaonline.com/berita/153056/bpjs-kesehatan-pastikan-pembayaran-klaim-tepat-waktu-dan-transparan
153036,Jatim Selatan,Pemkot Batu Launching Desk Harmoni mBatu Sae di Hari Kesaktian Pancasila,"KOTA BATU, BANGSAONLINE.com- Pemkot Batu menggelar upacara Peringatan Hari Kesaktian Pancasila dengan khidmat, Rabu (1/10/2025). Upacara yang sarat makna ini diikuti oleh berbagai elemen masyarakat. Wali Kota Batu, Nurochman, bertindak sebagai Inspektur Upacara. Hadir dalam kegiatan tersebut jajaran Forkopimda, unsur TNI-Polri, anggota Satpol PP, Dinas Perhubungan, perwakilan ASN Pemkot Batu, PGRI Kota Batu, serta siswa-siswi dari berbagai sekolah di wilayah Kota Batu. Peringatan tahun ini mengusung tema 'Pancasila Perekat Bangsa Menuju Indonesia Raya', yang mengajak masyarakat untuk merenungkan kembali makna Pancasila sebagai ideologi pemersatu bangsa.  Di tengah tantangan global seperti perubahan iklim, konflik geopolitik, dan dinamika digital, tema ini diharapkan mampu membangkitkan semangat kebersamaan dan nasionalisme yang lebih kokoh. Selain upacara inti, momen ini juga menjadi panggung peluncuran program baru Pemkot Batu, yakni Desk Harmoni mBatu Sae. Inisiatif ini digagas langsung oleh Nurochman sebagai wadah kolaboratif untuk menjaga persatuan dan kesatuan masyarakat, selaras dengan nilai-nilai Pancasila.  ""Tepat hari ini, peringatan Hari Kesaktian Pancasila pada tanggal 1 Oktober 2025, merupakan momentum yang tepat bagi kami untuk me-launching Desk Harmoni mBatu Sae sebagai wadah Persatuan dan Kesatuan seluruh masyarakat dari berbagai lapisan dan golongan, khususnya Kota Batu. Hal ini tentu sangat sesuai dengan nilai Pancasila sebagai Perekat Bangsa,"" paparnya. Peluncuran Desk Harmoni mBatu Sae disambut antusias oleh para hadirin. Perwakilan siswa berharap program ini menjadi jembatan bagi generasi muda dalam menjaga harmoni sosial. Dukungan juga datang dari unsur TNI-Polri sebagai bagian dari upaya pencegahan konflik di tingkat lokal. Acara berlangsung lancar dan ditutup dengan doa bersama serta penyerahan simbolis dokumen pendirian Desk Harmoni mBatu Sae. Pemerintah Kota Batu berharap, melalui inisiatif ini, Kota Batu dapat menjadi teladan dalam mewujudkan Indonesia Raya yang bersatu di bawah naungan Pancasila. (adi/mar)",https://bangsaonline.com/berita/153036/pemkot-batu-launching-desk-harmoni-mbatu-sae-di-hari-kesaktian-pancasila
