penulis;judul;pembimbing_pertama;pembimbing_kedua;abstrak;abstrak_inggris
Dyah Ayu Citra Seza;Implementasi Fungsi Legislasi Dewan Perwakilan Rakyat Daerah Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah;Yudi Widagdo Harimurti, SH., MH;Safi', SH., MH;ABSTRAK           Implementasi Fungsi Legislasi DPRD Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah menurut ketentuan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 maupun Undang-Undang Republik Indonesia Nomor 12 Tahun 2011 Tentang Pembentukan Peraturan Perundang-undangan dan Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 Tentang Pemerintahan Daerah menentukan bahwa fungsi legislasi berada ditangan DPRD. Fungsi Legislasi yang dimiliki oleh DPRD merupakan fungsi pembentukan peraturan daerah (perda). Begitupula dengan DPRD Kabupaten Bangkalan yang memiliki fungsi legislasi tersebut dalam pembuatan peraturan daerah.          Metode penelitian yang digunakan adalah yuridis normatif. Pendekatan masalah menggunakan pendekatan perundang-undangan (statute approach).          Hasil penelitian ini menunjukkan bahwa dalam pelaksanaan fungsi legislasi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah melalui beberapa tahapan yaitu melalui penyusunan program legislasi daerah (prolegda) dalam perencanaan penyusunan peraturan daerah sampai dengan proses sosialisasi rancangan peraturan daerah tersebut. Permasalahan atau kendala yang dihadapi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah adalah masih minimnya sumber daya manusia yang memadai, adanya perbedaan cara pandang dari tiap anggota legislatif, adanya latar belakang partai politik yang mendominasi, kurangnya komunikasi politik antara pihak legislatif dalam hal ini DPRD Kabupaten Bangkalan sebagai lembaga legislatif dengan masyarakat tersebut serta tidak adanya kesepakatan antara pihak eksekutif (kepala daerah) dengan masyarakat terkait penyusunan rancangan peraturan daerah.          Upaya yang dilakukan adalah kepala daerah dan DPRD harus bekerja sama demi kesejahteraan warga masyarakatnya dan kaitannya dengan pembentukan peraturan daerah DPRD tidak hanya kepala daerah saja yang dimintai pendapat tetapi masyarakat juga ikut dimintai pendapatnya. Pemerintah dan DPRD harus mendengar aspirasi dari warga masyarakatnya sehingga ada dengar pendapat antara pemerintah, DPRD dan warga masyarakat tentang peraturan yang dibuat.;ABSTRACT         Implementation of Legislation Parliament function Bangkalan period 2009-2014 in accordance with local regulation Formation of the Constitution of the Republic of Indonesia Year 1945 and Law of the Republic of Indonesia Number 12 Year 2011 On Establishment of Legislation and Law of the Republic of Indonesia Number 32 Year 2004 on Regional Government determines that a legislative function in the hands of Parliament. Legislation functions held by Parliament is a function of the establishment of local regulations (regulations). Neither the Parliament Bangkalan having a legislative function is the creation of local regulations.           The research method used is normative. Approach to the problem using this approach legislation (statute approach).          The results of this study indicate that the implementation of the legislative functions of Parliament Bangkalan in the formation of local regulations through several stages of drafting program through local legislation (prolegda) preparation of local planning regulations to disseminate the draft local regulation. Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, the background of the dominant political party, the lack of communication between the legislative politics in this Parliament as the legislature Bangkalan with the community and the lack of agreement between the executive (head area) with the drafting relevant regulations.          Effort is the head area and Parliament should work together for the welfare of their peoples and local regulations related to the establishment of parliament is not only the head area are consulted but society also consulted. The government and parliament must hear the aspirations of their peoples so that no hearing between the government, Parliament and the community on the rules made.
Maulina Nurlaily;"Pertanggungjawaban Pidana Direksi BUMN (Persero)
(Anotasi Putusan No. 1144 K/Pid/2006)";Tolib Effendi, SH., MH.;Dr. Eni Suastuti, SH., Mhum.;Badan Usaha Milik Negara (BUMN) adalah Badan usaha yang sebagian atau seluruh modalnya dimiliki oleh Negara yang berasal dari kekayaan negara yang dipisahkan. Namun, segala ketentuan yang berlaku pada BUMN (Persero) mengacu pada Undang-undang Perseroan Terbatas. Tapi pada kenyataannya kasus yang terjadi pada Direksi BUMN (Persero), dimana Direksi harus bertanggungjawab secara pidana kususnya tindak pidana korupsi dalam Putusan Hakim No. 1144/K/Pid/2006. Hal tersebut dikarenakan sebagian modal modal BUMN (Persero) dimiliki negara. Jadi, ketika BUMN tersebut mengalami kerugian maka dianggap negara juga mengalami kerugian. Tujuan dari penulisan ini yaitu untuk mengetahui bagaimana pertanggungjawaban Direksi BUMN (Persero) ketika terjadi kerugian pada BUMN tersebut.   Metode yang digunakan dalam penulisan ini yaitu yuridis normatif yang mana dalam penelitian ini menggunakan pendekatan statue approach (Pendekatan perundang-undangan) dan case approach (Pendekatan Kasus).   Hasil yang diperoleh dalam penulisan ini yaitu Badan Usaha Milik Negara (BUMN) identik dengan Perseroan terbatas. Maka segala ketentuan yang berlaku pada BUMN (Persero) dan Pertanggungjawaban Direksi BUMN mengacu pada Undang-undang Perseroan Terbatas.      Keyword: Pertanggungjawaban pidana, Direksi, Kerugian, BUMN;State Owned Enterprises (SOEs) are business entities that are partly or wholly owned by the State from the wealth separated state. However, all the provisions applicable to the state (Limited) refers to the Limited Liability Company Act. But in fact the case with the Board of Directors of SOEs (Limited), which the Board of Directors shall be criminally responsible kususnya corruption in Decision No. Hakim. 1144/K/Pid/2006. That is because most of the capital stock owned (Limited) owned by the state. So, when the state is experiencing a loss is considered the country also suffered losses. The purpose of this paper is to determine how the liability of Directors SOE (Limited) when there is a loss in the state.  The method used in this paper is the normative juridical which in this study using the approach statue approach (Approach legislation) and case approach (Case Approach).  The results obtained in this paper are State Owned Enterprises (SOEs) is identical to the limited liability company. So all the provisions applicable to the state (Limited) and refers to the state Board Accountability Act Company Limited.        Keyword: criminal responsibility, the Board of Directors, Loss, SOE
Moh. Samsul Hidayat;Analisis Terhadap Kekosongan Hukum dalam Pengawasan Peredaran Prekursor;Tolib Effendi, SH., MH.;Agus Ramdlany, SH., MH.;Kasus narkoba tidak henti-hentinya terdengar di media televisi, radio dan media cetak yang memberitakan tentang penyalahgunaan narkoba mulai dari penggunaan hingga peredaran gelapnya. Narkoba sangat memiliki harga nominal yang sangat tinggi, sehingga banyak orang menjadikan narkoba sebagai ladang bisnis, tanpa menghiraukan dampak bahaya ataupun resiko dari apa yang mereka lakukan. Seperti halnya bahan prekursor yang mana merupakan bahan pemula atau bahan kimia yang digunakan dalam berbagai kegiatan industri farmasi dan industri non farmasi dan untuk kegiatan pengembangan ilmu pengetahuan dan teknologi malah disalahgunakan sebagai bahan pembuat narkotika dan psikotropika dari sinilah bahan prekursor sangat perlu mendapatkan pengawasan khusus agar tidak disalahgunakan.  Badan Narkotika Provinsi Jawa Timur merupakan lembaga yang menangani setiap permasalahan narkoba di seluru Wilayah Provinsi Jawa Timur. Dalam penanganan dan upaya pencegahan tindak pidana narkoba, Badan Narkotika Provinsi Jawa Timur melakukan pengawasan terhadap peredaran gelap prekursor dimana bertujuan agar bahan prekursor tidak disalah gunakan.  Penelitian ini menggunakan metode Sosio Legal Research yang mana dalam penelitian ini menggunakan pendekatan fact/case approach yang di lakuka dengan cara menelaah terhadap kasus-kasus yang berkaitan dengan isu yang dihadapi atau fakta yang terjadi dilapangan.  Badan Narkotika Provinsi Jawa Timur telah berhasil melakukan pengawasan terhadap peredaran gelap prekursor sebagai upaya pencegahan tindak pidana narkoba di Wilayah Provinsi Jawa Timur. Meskipun dalam hal ini masih membutuhkan banyak cara lain agar penyalahgunaan narkoba benar-benar dapat di berantas khususnya di Wilayah Provinsi Jawa Timur.;Drug cases endlessly heard on television, radio and print media preach about drug abuse ranging from the use and circulation of darkness. Drugs really have a very nominal price high, so many people make drugs as a farm business, regardless of the impact of hazards or risks of what they are doing. Just as the precursor material, which is the starting material or chemicals used in the pharmaceutical industry activities and non-pharmaceutical industries and for the development of science and technology instead abused as a narcotic and psychotropic maker of precursor material where it is necessary to get the special supervision so as not to misused.  East Java Narcotics Agency is the agency that handles every drug problems across any area of East Java province. In the treatment and prevention of drug offenses, East Java Narcotics Agency oversight of illicit precursor wherein the precursor material is not intended to be misused.  This study uses the Socio Legal Research which is in fact the research approach / case approach which lakuka by examining the cases related to issues faced or fact that occur in the field.  East Java Narcotics Agency has successfully conducted surveillance of illicit precursor as prevention of drug offenses in the area of East Java province. Although in this case still needs a lot of other ways that drug abuse can completely eradicate, especially in areas in East Java province.
TOMMY ADITYA PARLINDUNGAN MARBUN;PERLINDUNGAN HUKUM BAGI KONSUMEN ATAS PRODUK ELEKTRONIK YANG TIDAK MEMILIKI PANDUAN BAHASA INDONESIA;DR. DJULAEKA, S.H., M.HUM;DR.USWATUN HASANAH, S.H., M. HUM;Produk elektronik adalah suatu benda bergerak yang dihasilkan melalui proses produksi oleh pengusaha elektronik berupa Peralatan atau alat yang bekerja berdasarkan kerja elektronika. Produk elektronik selalu update atau bervariasi baik dari segi bentuk maupun kecanggihannya, contohnya adalah televisi, radio, handphone, perekam kaset, perekam compact disc, kamera digital, kamera video dan lain-lain. Jenis-jenis produk elektronik tersebut merupakan barang yang sering digunakan dan telah menjadi kebutuhan setiap manusia karena banyak membantu pekerjaan manusia di kehidupan sehari-hari baik dalam efesiensi waktu maupun tenaga sehingga produk elektronik sangat diminati oleh manusia. Banyak beredar produk elektronik yang tidak memiliki panduan Bahasa Indonesia baik produk dalam negeri maupun produk luar negeri. Hal ini jelas telah melanggar Pasal 8 Ayat 1 huruf (j) UUPK, Peraturan Menteri Perdagangan Republik Indonesia Nomor 19/M-DAG/PER/5/2009 tentang Pendaftaran Petunjuk Penggunaan (Manual) Dan Kartu Jaminan/Garansi Purna Jual Dalam Bahasa Indonesia Bagi Produk Telematika Dan Elektronika dan juga Peraturan Menteri Perdagangan Republik Indonesia Nomor 22/M-DAG/PER/5/2010 tentang Kewajiban Pencantuman Label Pada Barang. Tujuan peneliti adalah untuk mengetahui apakah pelaku usaha yang menjual produk elektronik memiliki kewajiban untuk mencantumkan panduan bahasa Indonesia serta siapakah yang dapat  digugat oleh konsumen yang mengalami kerugian atas produk elektronik yang tidak memiliki panduan bahasa Indonesia. Metode yang digunakan adalah yuridis normatif. Adapun pendekatan yang digunakan ialah pendekatan peraturan perundang-undangan (statute approach). Hasil dari penelitian ini menunjukkan bahwa produk elektronik termasuk barang yang wajib untuk mencantumkan buku panduan bahasa Indonesia dan jika produk elektronik tersebut di produksi dalam negeri maka produsen yang membuat produk elektronik harus bertanggung jawab sedangkan jika produk elektronik tersebut berasal dari luar negeri maka yang bertanggung jawab adalah importir sebagai pihak yang memasukkan produk elektronik tersebut ke wilayah Indonesia.;Electronic products is an object moves through the production process generated by electronics employers in the form of equipment or tool that works based on the work of electronics. Electronic products always update or varied in terms of both form and sophistication, for example, is television, radio, mobile phones, tape recorders, compact disc recorders, digital cameras, video cameras and others. The types of electronic products is a frequently used items and have become the need of every human being as a lot of work helping people in daily life both in time as well as energy efficiency that electronic products are in great demand by the people. Many outstanding electronic products that do not have a good guide to Indonesian domestic products and foreign products. This is a clear violation of Article 8 Paragraph 1 letter (j) of BFL, Regulation of the Minister of Trade of Republic of Indonesia Number 19/M-DAG/PER/5/2009 Registration User Guide (Manual) and Warranty Card/Aftermarket Warranty For In Indonesian Electronics and Telematics products and also Regulation of the Minister of Trade of the Republic of Indonesia No.22/M-DAG/PER/5/2010 on obligations Inclusion Label on Goods. The researchers' goal was to determine whether the businesses that sell electronic products have an obligation to provide guidance Indonesian and who can be sued by consumers who suffered losses from the electronic product that does not have a guide to Indonesian. The method used is normative. The approach used is to approach legislation (statute approach). The results of this study indicate that the electronic products including items required to include Indonesian guidebooks and if the electronic product in domestic production of the manufacturers who make electronic products should be responsible while if the electronic products come from overseas it is responsible importers as a party to enter the electronic products to Indonesia
RICA YENA IMADHORA;"TELAAH  KRITIS TENTANG ALASAN HUKUM YANG DIGUNAKAN OLEH  PAPERA UNTUK TIDAK MELANJUTKAN 
PERKARA PIDANA KE PENGADILAN MILITER";Dr. DENI SBY, S. H., M. S.;SAIFUL ABDULLAH, S. H., M. H.;;
Andri Eka Sugiarto;"TELAAH KRITIS TENTANG
PEMBERITAAN MEDIA MASSA TERHADAP PELANGGARAN
ASAS PRADUGA TIDAK BERSALAH";Dr. Deni Setya Bagus Yuherawan, SH., MS;Gatoet Poernomo,SH.M.Hum;ABSTRAK    Jaminan akan kemerdekaan dan kebebasan pers di Indonesia berpijak pada dua (2) landasan hukum yaitu Undang-Undang Dasar 1945 dan Undang-Undang Pers No.40 Tahun 1999. Dengan terjaminnya kemerdekaan dan kebebasan pers, pers diharapkan mampu mengimplementasikan Hak, Kewajiban, Peran, dan Fungsi pers sehingga pers dapat menjadi pemberi peringatan dini untuk mengungkap ketidakadilan, dan kesewenang-wenangan oleh penyelenggara negara. Tetapi dalam melaksanakan Hak, Kewajiban, Peran, dan Fungsi pers secara disadari atau tidak sering sekali melakukan pelanggaran “Asas Praduga Tidak Bersalah” berupa Trial by The Press. Isu hukum tersebut menjadi menarik untuk diteliti lebih lanjut sebab dalam pemberitaan media massa tentang suatu tindak pidana sering juga yang mencamtumkan identitas pelaku tindak pidana, hal tersebut merupakan pelanggaran “Asas Praduga Tidak Bersalah” atau bukan. Metode penelitian yang menggunakan penelitian hukum Normatif dan dengan menggunakan pendekatan masalah berupa pendekatan Historis, Statute Approach, dan Konseptual untuk menjawab isu hukum diatas. Hasil penelitian yang diperoleh bahwa dikatakan melanggar “Asas Praduga Tidak Bersalah” jika Pers telah mendakwa, menuntut, atau memutus seorang bersalah tanpa adanya bukti dan fakta yang terjadi sebenarnya tetapi jika pers tidak melakukan penghakiman dalam beritanya maka pers tersebut tidak dapat dikatagorikan melakukan pelanggaran “Asas Praduga Tidak Bersalah”, tidak peduli apakah berita itu dalam proses hukum atau tidak karena pemberitaan tersebut sebagai salah satu upaya pelaporan fakta yang terjadi di lapangan sesuai dengan fungsi Informatif pers dan berdasarkan KUHAP Pasal 1 butir 24 tentang Pelaporan.      Kata Kunci : Fungsi Informatif Pers, Asas Praduaga Tidak Bersalah, Pelaporan.;"ABSTRACT    Guarantees of independence and freedom of the press in Indonesia rests on two (2) the legal basis of the Constitution and the 1945 Press Law No.40 of 1999. By ensuring the independence and freedom of the press, the press is expected to implement the Rights, Duties, role, and function of the press so that the press can be an early warning to uncover injustice, and abuse by the state. But in implementing Rights, Duties, Role and function of the press is aware of it or not frequently violated ""presumption of innocence"" of Trial by The Press. The legal issues to be interesting to study further because in the mass media about a crime often also publish the identity of the criminal, it is a violation of ""Presumption Of Innocence"" or not. The research method used Normative and legal research using this approach in the form of Historiy Approach, Statute Approach, and Conceptual Approach legal issues to address above. The results obtained that says violates ""Presumption Of Innocence"" if the press had been indict, prosecute, or break a guilty without any evidence and facts that actually happened but if it did not release news of the judgment in the press can not be categorized in violation ""Principle presumption Of Innocence "", no matter if the news is in the process of law or not because the reports in an effort reporting facts that occurred in the field according to the press Informative function based on the Criminal Procedure Code and Article 1, point 24 on reporting.    Keywords: Functions Press, Principle Presumption Of Innocence, Reporting."
Agung Saiful Anam;"PELAKSANAAN PENDAFTARAN TANAH UNTUK PERTAMA KALI DI KANTOR PERTANAHAN KABUPATEN BANGKALAN MENURUT 
PP NOMOR 24 TAHUN 1997 TENTANG PENDAFTARAN TANAH";Dr. Mufarrijul Ikhwan, SH.,M.Hum;Mishbahul Munir, SH., M.Hum;ABSTRAK    Pendaftaran tanah untuk pertama kali bertujuan untuk memberikan kepastian hukum hak atas tanah bagi seluruh rakyat. Pendaftaran tanah ini dapat dilaksanakan berdasarkan Peraturan Pemerintah Nomor 24 Tahun 1997 tentang Pendaftaran Tanah yang dapat membeikan solusi kepada masyarakat untuk dapat menentukan pilihan terhadap 2 (dua) jenis pendaftran tanah tersebut.Tujuan penelitian ini adalah untuk mengetahui tentang pelaksanaan pendaftran tanah pertama kali dan untuk mengetahui kendala dialami dalam pelaksanaan pendaftaran tanah. Penelitian ini menggunakan jenis penelitian hukum empiris dengan pendekatan fakta dan peraturan perundang-undangan, jenis data penelitian berupa data primer yang diperoleh secara langsung dari wawancara dan data sekunder diperoleh dari studi kepustakaan. Adapun analisis data dengan cara analisis kualitatif. Hasil penelitian bahwa petuk pajak atau letter c tetap dikatakan sebagai alat bukti karena untuk memperoleh hak atas tanah, sebagai bukti petunjuk yang dapat membantu penegasan konversi (perubahan) hak milik secara turun temurun menurut hukum adat, menjadi hak milik menurut peraturan perundang-undangan yang mengaturnya.  Untuk memperoleh hak atas tanah dengan alat bukti yang berupa letter c harus di daftarkan dikantor pertanahan..Beberapa kendala yang dialami oleh masyarakat sulitnya untuk mendapatkan alat bukti berupa Letter C(Koher) tersebut karena masih dibawa oleh kepala desa lama.Upaya untuk mengatasi kendala-kendala tersebut adalah Kantor Pertanahan Kabupaten Bangkalan mengadakan sosialisai tentang prosedur dan proses pendaftaran tanah kepada masyarakat. Sosialisasi dapat diberikan dalam bentuk pengetahuan hukum bidang pertanahan, yang dilakukan secara teratur dan berkesinambungan dengan menjalin kerja sama antara Kantor Pertanahan dengan Kantor instansi lainnya.;ABSTRACT    First time of Land Registration aims to provide legality of land rights for all citizens. Land registration can be carried out based on Government Regulation Number 24 of 1997 about Land Registration that be able to give solutions to the public in order to determine of choice of 2 (two) types of Land Registration. The research aims to know about the implementation of the first land Registration and to know constraints in the implementation of land registration. This research uses empirical legal research approach to facts and laws, the research type with primary data that obtained directly from interviews and secondary data obtained from the study of literature. The data analysis was qualitative analysis. The results is as taxes or letter c still be regarded as evidence as to obtain land rights, as evidence hints that be able to help affirmation conversion (change) hereditary property rights under customary law, become the property according to the laws and regulations that govern . To obtain land rights with evidence in the form of letter c must be registered at the Land office. Some constraints are experienced by the difficulty to obtain evidence in the form of Letter C (Koher) because it was brought by old district head .Effort to overcome these constraints are Bangkalan Land Office held a socialization of the procedures and processes of land registration to the public. Socialization can be given in knowledge of the right in land, which is done regularly and continuously to establish cooperation between the Land Office to the other Agencies Office.
Adityo Nugroho;"TRANSAKSI JUAL BELI MELALUI INTERNET PERSPEKTIF SYARIAH
( KAJIAN DALAM SITUS WWW.MUSLIMGALERI.COM)";Dr. Murni, SH.,M.Hum;Mishbahul Munir, SH., M.Hum;ABSTRAK    	Salah satu bentuk kemajuan teknologi adalah jual beli melalui internet. transaksi ini memudahkan bagi penjual dan pembeli tanpa harus bertemu secara langsung. Jual beli dalam pandangan Islam melarang jual beli yang mengandung unsur  gharar karena dapat merusak ketentraman umat muslim. Oleh karena itu, penelitian ini dilakukan untuk mengetahui apakah transaksi jual beli melalui internet dipandang telah memenuhi syarat sahnya jual beli dalam syariah. Metode penelitian yang digunakan adalah penelitian hukum normatif. Adapun pendekatan masalah menggunakan pendekatan perundang undangan dan pendekatan konseptual. Hasil penelitian menyimpulkan Fiqi’h memandang bahwa transaksi jual beli melalui internet diperbolehkan karena mashlahah. Mashlahah adalah mengambil manfaat dan menolak ke-mudhorot-an dalam rangka memelihara tujuan syara’. Memperhatikan persyaratan tersebut, bahwa jual beli melalui internet hukumnya mubah atau boleh selama penawaran yang ada di katalog situs jual beli memenuhi rukun dan syarat jual beli. Kenyataanya unsur gharar dalam jual beli melalui internet tetap terjadi. Unsur gharar ini timbul dalam hal harga dengan cara menaikkan secara sepihak, gharar dalam kualitas tidak memberikan gambaran dengan jelas mengeni bahan yang digunakan dan waktu pengiriman terjadi disebabkan tidak jelasnya jangka waktu pengiriman barang. Unsur gharar yang terjadi dalam jual beli melalui internet dapat mengakibatkan status hukum menjadi subhat (tidak jelas). Namun dengan pertimbangan unsur kemaslahatan, jual beli melalui internet dapat dilakukan.;ABSTRACT     	One form of technological progress is the buying and selling over the internet. This facilitates the transaction for the seller and the buyer without having to meet in person. Buying and selling in the view of Islam prohibits the sale and purchase that contains gharar because it can damage the tranquility of Muslims. Therefore, research was conducted to determine whether the sale and purchase transactions over the internet deemed eligible purchase in the Islamic legitimacy. The method used is a normative legal research. The approach to the problem using the statute approach of and conceptual approach. The research concludes Fiqi'h view that buying and selling over the internet is allowed because mashlahah. Mashlahah is to take the benefits and reject the mudhorot's in order to maintain the goal of Personality '. Nothing these requirements, the buying and selling over the internet or be legal permissible for existing catalog offers buying and selling site harmonious and fulfilling purchase requirements. In fact in buying and selling over the Internet still occurs. Gharar arises in this case by raising prices unilaterally, gharar in quality does not provide a clear picture of the materials used and the time of delivery occurs due to lack of clarity about delivery period. Gharar that occur in buying and selling over the internet can lead to legal status subhat (not clear), but with consideration of the element of the benefit, buying and selling over the internet to do.
Yuliano Orgianus Landowero;PELAKSANAAN MORATORIUM PENGIRIMAN TENAGA KERJA INDONESIA DI DESA MANONGGAL KECAMATAN KLAMPIS KABUPATEN BANGKALAN;Azizah, SH.,M.Hum;Devi Rahayu, SH.,M.Hum;ABSTRAK    Pelaksanaan terhadap kebijakan moratorium yang diberlakukan pemerintah Indonesia dilandasi oleh banyaknya kasus kekerasan yang sering terjadi dan menimpa Tenaga Kerja Indonesia di luar negeri. Program moratorium terhadap TKI yang bekerja di luar negeri tentu mempunyai pengaruh  terhadap pengiriman TKI asal Bangkalan. Rumusan masalah yang diambil adalah bagaimanakah pelaksanaan kebijakan moratorium yang dilakukan pemerintah daerah kabupaten Bangkalan. Tujuan dari penulisan ini untuk memperoleh kejelasan mengenai pelaksanaan dari kebijakan moratorium yang dilakukan oleh Dinsosnakertrans Kabupaten Bangkalan. Metode penelitian yang digunakan dalam penulisan ini menggunakan penelitian hukum sosiologis hukum atau empiris. Hasil penelitian menunjukkan moratorium yang diberlakukan oleh pemerintah harus berjalan dengan baik sehingga efektivitas dari moratorium dapat mengurangi jumlah kekerasan yang terjadi pada TKI. Pelaksanaan moratorium di daerah Bangkalan tentunya berdampak besar sehingga dalam kebijakan tersebut, peran serta pemerintah daerah khususnya Bangkalan harus mulai membenahi system perekrutan yang harus sesuai dengan UU No. 39 Tahun 2004. Bentuk Perlindungan yang diberikan kepada TKI mulai dari pra penempatan, masa penempatan dan pasca penempatan. Perlindungan ini diberikan agar para TKI lebih dihargai hak-haknya sehingga tidak ada kasus kekerasan terhadap TKI yang bekerja di Luar Negeri.;ABSTRACT    The implementation of the moratorium imposed by the Indonesian government is based on the number of cases of violence that are common and afflicts Indonesian Workers abroad. Program moratorium against workers who work abroad would have an influence on sending workers home Bangkalan. The formulation of the problem is how the implementation of policies taken by the government moratorium Bangkalan district. The purpose of this paper to obtain clarity on the implementation of the moratorium by Dinsosnakertrans Bangkalan. The research method used in this paper uses a sociological legal research or empirical laws. The results showed that the moratorium imposed by the government should be running well so that the effectiveness of the moratorium could reduce the amount of violence that occurs in workers. The implementation of the moratorium in the area Bangkalan certainly have a major impact in the policy, the role of local governments in particular must start to fix Bangkalan recruitment system should be in accordance with Law no. 39 in 2004. Forms of protection given to workers ranging from pre-deployment, deployment and post-deployment period. This protection is given to the workers over their rights respected so that no cases of violence against migrant workers working abroad.
NUR INDAH FENY SURYANTI;ASPEK PIDANA DALAM JUAL BELI OLI BEKAS KAPAL DI PERAIRAN SELAT MADURA;BOEDI MUSTIKO, SH., M.Hum;GATOET POERNOMO, SH., M.Hum;Oli bekas kapal merupakan oli sisa yang dihasilkan dari kegiatan permesinan sebuah kapal. Oli bekas kapal ini kerap kali dijual oleh para ABK, sebab sampai saat ini tempat penampungan limbah seperti Reception Facility (RF) yang menampung limbah untuk wilayah perairan Selat Madura belum siap untuk digunakan. Jual beli oli bekas kapal ini merupakan upaya yang dilakukan oleh para ABK dalam menangani limbah oli bekas kapal yang semakin meningkat. hal ini menjadi menarik untuk diteliti sebab apakah sesederhana itu perlakuan terhadap oli bekas kapal tersebut sehingga penjualan oli bekas kapal marak terjadi di perairan Selat Madura. Oleh karena itu, penelitian ini dilakukan untuk mengetahui apakah jual beli oli bekas kapal tersebut merupakan suatu tindak pidana ataukah bukan.  metode penelitian yang digunakan adalah normatif (yuridis normatif). Adapun pendekatan masalah menggunakan pendekatan undang-undang dengan menelaah semua undang-undang dan regulasi yang bersangkutan dengan isu hukum yang sedang ditangani adakah konsistensi dan kesesuaian antara suatu undang-undang dengan undang-undang lainnya atau antara undang-undang dengan Undang-undang Dasar atau antara regulasi dengan undang-undang.  Hasil dari penelitian ini bahwa jual beli limbah oli bekas kapal dapat diklasifikasikan sebagai tindak pidana, karena limbah oli bekas kapal termasuk dalam limbah B3 yang tidak boleh diperjual belikan atau diperdagangkan.    Kata kunci : oli bekas kapal, jual beli.;Ship used oil is residual oil generated from machining a ship. This ship used oil often sold by the crew, because until now shelters such waste Reception Facility (RF) which holds waste to the territorial waters of Madura Strait is not ready for use. Buying and selling used oil vessel is the efforts made by the crew in handling the ship used oil waste is increasing. it becomes interesting to study because it is so simple treatment of used oil vessel so that the vessel used oil sales rife in the Madura Strait. Therefore, research was conducted to determine whether the sale of used oil vessel is a crime or not.  research method used is normative (normative). The approach to the problem using this approach to study the law all laws and regulations relevant to the legal issue at hand is there consistency and compatibility between a law with other laws or the laws with the Constitution or the regulation by law.  Results from this study that the sale and purchase of ships used oil waste can be classified as a crime, because the vessel used oil waste are included in the B3 waste must not be sold or traded.    Keywords: used oil ships, buying and selling.
