judul,isi,link,kategori
Menkum Resmi Teken SK Kepengurusan PPP Ketum Mardiono,"Menteri Hukum Supratman Andi Agtas resmi menandatangani Surat Keputusan (SK) KepengurusanPPPdengan Ketua UmumMardiono. Supratman mengatakan SK tersebut ditandatangani usai penelitian sejumlah dokumen.
""Kemarin pagi saya sudah menandatangani SK pengesahan kepengurusan Bapak Mardiono,"" kata Supratman saat akan menghadiri rapat paripurna DPR, di kompleks parlemen, Senayan, Jakarta, Kamis (2/9/2025).
""Kemudian apakah sudah diambil, saya belum tahu karena saya serahkan kepada teman teman dan Kemenkum. Yang jelas saya sudah tanda tangani kepengurusan itu,"" sambungnya.

Supratman mengatakan Mardiono telah mendaftarkan kepengurusan PPP pada 30 September 2025. Kemudian, pihak Mardiono juga telah mengakses sistem administrasi badan hukum.
""Kami lakukan penelitian sebagaimana yang telah dilakukan teman-teman di Dirjen AHU, maka setelah dilakukan penelitian berdasarkan Anggaran Dasar dan Anggaran Rumah Tangga, di mana menggunakan Anggaran Dasar dan Rumah Tangga hasil Muktamar ke IX, di Makassar lalu dan itu tidak berubah,"" tuturnya.
Sebelumnya, Muktamar X Partai Persatuan Pembangunan (PPP) telah memilih Ketua Umum yang baru. Muhammad Mardiono kembali menjabat Ketum PPP usai terpilih secara aklamasi.
""Teman-teman media yang saya hormati, pertama-tama saya ingin menyampaikan selamat kepada Pak Mardiono atas terpilihnya secara aklamasi dalam muktamar ke-10 yang baru saja kami ketuk palunya,"" kata pimpinan sidang, Amir Usmara, di Muktamar X PPP di Ancol, Jakarta Utara, Sabtu (27/9).

Amir mengatakan Muktamar X PPP sempat diwarnai keributan. Namun, ia menyebut total ada 30 DPW telah sepakat untuk mengadakan pemilihan Ketua Umum dan sepakat secara aklamasi untuk menunjuk Mardiono sebagai Ketua Umum PPP.
""Kami sudah sepakat dengan seluruh DPW bahwa tadi memang kita sudah ketuk palu dan menyampaikan selamat kepada Pak Mardiono yang terpilih secara aklamasi dan kita berikan kesempatan untuk menyusun kepengurusan bersama 8 formatur yang sudah terbentuk, yaitu 5 dari DPW dan 3 dari DPP mendampingi Pak Mardiono jadi 9,"" ujar Amir.",https://news.detik.com/berita/d-8140970/menkum-resmi-teken-sk-kepengurusan-ppp-ketum-mardiono,berita
Kuasa Hukum Sebut Staf Ahli Kemensos Edi Suharto Jadi Tersangka KPK,"Kuasa Hukum Staf Ahli KemensosEdi Suharto, Faizal Hafied, mengatakan kliennya sudah ditetapkan tersangka oleh Komisi Pemberantasan Korupsi (KPK) terkait kasusbansos. Ia menyinggung Edi hanya menjalankan perintah jabatan.
""Bahwa atas dasar melaksanakan perintah jabatan tersebut, pada saat ini Bapak Edi Suharto telah ditetapkan sebagai tersangka oleh KPK,"" ujar Faizal Hafied saat konferensi pers Edi dan tim kuasa hukumnya di Acacia Hotel, Jakarta Pusat, Kamis (2/10/2025)..

Faizal mengatakan Edi hanya melaksanakan perintah jabatan dari mantan Menteri Sosial Juliari P Batubara. Jabatan yang diemban Edi pada 2020 itu yakni Direktur Jenderal Pemberdayaan Sosial Kementerian Sosial RI.
""Secara terang dan jelas bahwa Edi Suharto sebagai Direktur Jenderal Pemberdayaan Sosial Kementerian Sosial RI tahun 2020, hanya melaksanakan perintah jabatan sebagai Direktur Jenderal Pemberdayaan Sosial pada saat itu, yang secara terang dan jelas diberikan Surat Tugas oleh Bapak Juliari P Batubara Menteri Sosial RI tahun 2020 sebagai pelaksana Program Bantuan Sosial Beras (BSB) sebagai Jaring Pengaman Sosial bagi Masyarakat Terdampak Pandemi COVID-19,"" ujarnya.

Dia meminta pertanggungjawaban kasus ini dibebankan ke pemberi perintah jabatan. Dia menyebut Edi hanya korban ketidakadilan untuk melaksanakan perintah jabatan.
""Bahwa demi keadilan dan kebenaran, sesuai dengan norma fundamental hukum tersebut dan sesuai dengan Pasal 51 ayat 1 KUHP seharusnya Bapak Edi Suharto dalam melaksanakan perintah jabatannya sebagai Direktur Jenderal Pemberdayaan Sosial Tajun 2020 tidak dapat dipersalahkan dan tidak dapat dipidana karena melaksanakan perintah jabatan yang ditugaskan kepadanya,"" ujar Faizal.
""Dengan penuh rasa hormat demi keadilan dan kebenaran, serta atas dasar kemanusiaan, maka klien kami, Bapak Edi Suharto menuntut keadilan, karena menyakini sebagai pihak yang dikorbankan atas melaksanakan perintah jabatan yang diembannya,"" tambahnya.

Sebagai informasi, pada Agustus 2025, KPK mengumumkan telah menetapkan lima tersangka baru dalam kasus korupsi distribusi bansos di Kemensos tahun 2020. Tersangka itu terdiri dari tiga orang dan dua korporasi.
KPK juga mencegah empat orang untuk bepergian ke luar negeri terkait kasus ini. Mereka yaitu Komisaris Utama PT Dosni Roha, Bambang Rudijanto Tanoesoedibjo (BRT), Direktur Operasional DNR Logistics tahun 2021 -2024 Herry Tho (HT), Dirut DNR Logistics tahun 2018-2022 Kanisius Jerry Tengker (KJT), dan Staf Ahli Menteri Bidang Perubahan dan Dinamika Sosial Kemensos, Edi Suharto (ES).
Namun, KPK belum menjelaskan siapa saja tersangka dalam perkara ini. Identitas salah satu tersangka baru diketahui saat Rudy Tanoesoedibjo mengajukan gugatan praperadilan ke Pengadilan Negeri Jakarta Selatan (PN Jaksel).
Gugatan Rudy itu terdaftar dengan nomor nomor perkara 102/Pid.Pra/2025/PN JKT.SEL. Hakim tunggal PN Jaksel Saut Erwin Hartono menolak gugatan praperadilan tersebut, sehingga status tersangka Rudy oleh KPK tetap sah.",https://news.detik.com/berita/d-8140967/kuasa-hukum-sebut-staf-ahli-kemensos-edi-suharto-jadi-tersangka-kpk,berita
Pihak Eks Dosen UIN Malang Tolak Surat Pengusiran yang Dibuat Warga,"Eksdosen UIN Malang Maulana Malik Ibrahim, Imam Muslimin atau Yai Mim diusir oleh warga di lingkungannya. Namun, pihak Yai Mim mempertanyakan apakah surat pengusiran itu juga mencatut nama warga lainnya.
DilansirdetikJatim, Agustian Siagian, kuasa hukum Imam Muslimin, menyebut kliennya justru mendapat perlakuan tidak semestinya dari sebagian warga. Mulai dari dikucilkan hingga ditolak beribadah di masjid setempat.
Agustian menyebut tindakan pengusiran tersebut, tidak seharusnya dilakukan oleh pihak-pihak yang tidak memiliki kewenangan.
""Kami sangat menyayangkan tindakan tersebut terhadap Kyai Mim yang dilakukan tanpa dasar hukum oleh pihak-pihak yang tidak berwenang,"" kata Agustian dalam keterangannya, Kamis (2/10/2025).



Menurutnya, penilaian terhadap benar atau salahnya seseorang menurutnya merupakan kewenangan lembaga peradilan.
Agustian juga secara khusus mempertanyakan legalitas dan keabsahan surat 'Kesepakatan Warga RT 09/RW 09 Joyogran Kavling Depa' tertanggal 7 September 2025. Ia meminta pihak yang membuat surat itu memberikan klarifikasi.
""Kami berupaya meminta klarifikasi, apakah nama-nama warga yang tercatut di dalam surat tersebut memang menghendaki pengusiran terhadap klien kami, atau kah nama-nama tersebut hanya sebatas lampiran daftar hadir,"" katanya.
Baca berita selengkapnyadi sini.",https://news.detik.com/berita/d-8140964/pihak-eks-dosen-uin-malang-tolak-surat-pengusiran-yang-dibuat-warga,berita
FPTI Kecam Aksi Kekerasan Senior Komunitas Pecinta Alam di Bitung,"Federasi Panjat Tebing Indonesia (FPTI) mengecam aksikekerasanyang terjadi saat orientasi anggota baru komunitas pecinta alam di Bitung, Sulawesi Utara. FPTI menegaskan rasa hormat tidak bisa dibentuk dari cara-cara kekerasan.
""Kami menyesalkan terjadinyabullyingyang kemarin terjadi di salah satu klub pecinta alam di Bitung dan tentubullyingtidak bisa diterima. Kekerasan atas nama apapun yang dilakukan senior terhadap junior atau siapa pun tidak bisa diterima,"" ujar Ketua Umum FPTI Yenny Wahid, dalam keterangannya, Kamis (2/10/2025).
Yenny Wahid menegaskan kegiatan orientasi dengan cara-carakekerasan tidak dapat membentuk rasa hormatjunior terhadap senior, tetapi justru menimbulkan trauma bagi korban.
""Karena tindakanbullyingdan kekerasan atau tindakan intimidatif hanya akan menimbulkan luka yang mendalam dan trauma. Rasa hormat tidak bisa didapatkan dari cara melakukan bullying terhadap adik kelas atau junior,"" tegasnya.
Yenny Wahid mengajak seluruh komunitas pecinta alam dan komunitas lain untuk menghapus tradisi kekerasan pada kegiatan orientasi.

""Mari kita budayakan budaya mencintai alam dan mencintai sesama. Bullying no, tidak bisa diterima,"" kata dia.
Hal senada disampaikan oleh Ketua Bidang Panjat Tebing Alam dam Rekreasi, Robertus Robet. Robet mengatakan olahraga mengandalkan sportivitasdan kejujuran sebagai basis moral.
""Dia hanya bisa dicapai dengan kesadaran dan tanggung jawab, oleh karena itu segala bentuk kekerasan pemaksaan itu sebenarnya di luar metode maupun cita-cita, olahraga apapun,"" ucap Robet.
Aksibullyingyang terjadi pada saat orientasi komunitas pecinta alam di Bitung, Sulawesi Utara, viral di media sosial. Dalam rekaman video yang beredar terlihat sejumlah anggota baru dijejerkan.
Mereka lantas mendapatkan perlakuan kekerasan oleh senior, seperti ditempeleng hingga ditendang. Kasus ini telah dilaporkan oleh orang tua salah satu korban ke pihak kepolisian.

",https://news.detik.com/berita/d-8140931/fpti-kecam-aksi-kekerasan-senior-komunitas-pecinta-alam-di-bitung,berita
HR-V Diduga Melaju 130 Km/Jam Sebelum Kecelakaan Maut di Tol Jagorawi,"Polisi mengungkap kecepatan mobil Honda HR-V sebelum kecelakaan maut diTol JagorawiKm 34, Bogor, Jawa Barat. Kecepatan mobil tersebut diduga mencapai 130 km per jam.
""Kecepatan 130 (km/jam), speedometer di titik terakhir terjadinya benturan menunjukkan angka 130 km/jam,"" kata Kainduk PJR Tol Jagorawi Kompol Ahmad Jajuli, Kamis (2/10/2025).
Jenazah korban telah dibawa ke RSUD Ciawi. Jajuli mengatakan kecelakaan diduga dipicu korban tidak konsentrasi saat mengendarai mobil dengan kecepatan tinggi.

""Kecepatan tinggi tidak konsentrasi,"" ucapnya.
Sebelumnya, kecelakaan lalu lintas melibatkan mobil Honda HR-V dengan kendaraan lainnya di Tol Jagorawi Km 34, Bogor viral di media sosial (medsos). Pengemudi HR-V meninggal dunia akibat kecelakaan itu.
""Jumlah korban satu orang, pengemudi meninggal dunia,"" kata Kompol Ahmad Jajuli.

Kecelakaan berawal ketika pengemudi bernama Ahmed Mohammed Al Kahtani (26) melaju dari arah Jakarta menuju Bogor. Pengemudi diduga melaju dalam kecepatan tinggi.
""Lalu menabrak kendaraan yang ada di depannya yang tidak tercatat identitasnya (kabur),"" ungkapnya.
Posisi akhir kendaraan berada di lajur 2 menghadap selatan. Sementara dalam foto yang diterima, mobil ringsek pada bagian depan.",https://news.detik.com/berita/d-8140930/hr-v-diduga-melaju-130-km-jam-sebelum-kecelakaan-maut-di-tol-jagorawi,berita
KPK Pantau Dugaan Kebocoran Anggaran Haji Rp 5 T: Ditindak Jika Ada Korupsi,"KPK akan melakukan monitoring terhadap adanya dugaan kebocoran anggaranhajisetiap tahunnya yang mencapai Rp 5 triliun. Monitoring ini dilakukan dalam upaya pencegahan terjadinya kebocoran tersebut.
""Dari sisi pencegahannya, kami di KPK itu ada Deputi Pencegahan dan Monitoring, Deputi Gahmon, di mana salah satunya ada Direktorat Monitoring,"" kata Plt Deputi Penindakan dan Eksekusi KPK, Asep Guntur Rahayu kepada wartawan, dikutip Kamis (2/10/2025).
""Tentunya masalah haji ini juga sudah ada kajian-kajiannya dari Direktorat Monitoring. Dan nanti dengan informasi yang diberikan, terkait dengan anggaran haji yang setiap tahun itu ada kebocoran sekitar 5 triliun, itu bisa dilakukan monitoring oleh Direktur Monitoring, dilakukan evaluasi,"" sambungnya.

Asep menjelaskan dalam monitoring ini tentunya akan ada evaluasi yang dilakukan. Hasil evaluasi tersebut nantinya diserahkan kepada pihak Kementerian Haji.
Dia menyebut evaluasi ini akan menyasar titik-titik yang dianggap rawan terjadinya kebocoran. Dari hasil tersebut pun bisa dilakukan perbaikan untuk proses penyelenggaraan haji tahun berikutnya.
""Sehingga dalam pelaksanaan haji di tahun berikutnya, misalkan tahun 2026 dan seterusnya, kebocoran-kebocoran itu bisa diantisipasi, dibuatkan SOP-nya, atau mungkin juga kalau terjadi fraud oleh beberapa tempat atau beberapa orang atau beberapa kelompok,"" terang Asep.
Asep menjelaskan hasil monitoring ini juga nantinya bisa menyasar ke arah penindakan jika memang ditemukan adanya tindak pidana korupsi yang terjadi. Nantinya, deputi penindakan yang akan bergerak melakukan penelusuran.
""Dan apabila hasil monitoring itu nanti ada ditemukan bahwa terjadi tindak pidana korupsi, itu bisa juga langsung disampaikan kepada penindakan, kedeputian penindakan untuk dilakukan penindakan,"" ungkap Asep.
""Jadi kita nanti bisa melakukan penindakan untuk perkara-perkara yang ditemukan pada saat dilakukan monitoring,"" sambungnya.


Sebelumnya, Wakil Menteri Haji dan Umroh, Dahnil Anzar, mengatakan pemerintah saat ini berupaya menyisir dan menekan potensi kebocoran anggaran dalam proses pengadaan barang dan jasa penyelenggaraan haji yang selama ini. Dia memperkirakan kebocoran mencapai 20 hingga 30 persen dari total anggaran sebesar Rp17 triliun.
Dahnil menjelaskan struktur biaya penyelenggaraan haji yang mencapai Rp17 triliun terbagi dalam 10 proses pengadaan utama, dengan beberapa pos anggaran terbesar berasal dari transportasi udara, layanan syarikah, katering, dan akomodasi jamaah di Arab Saudi.
Menurutnya, dalam 10 tahapan proses pengadaan haji, potensi kebocoran diperkirakan bisa mencapai Rp 5 triliun per tahun. Oleh karena itu, upaya pengawasan diharapkan dapat memberikan efisiensi anggaran yang signifikan.
""Dari 17 triliun total biaya penyelenggaraan haji untuk memberangkatkan 203 ribu orang, kebocoran 20 sampai 30 persen berarti hampir Rp 5 triliun. Itu yang kami ingin tekan semaksimal mungkin, kalau bisa nol kebocoran,"" ujar Dahnil dilansirAntara.
",https://news.detik.com/berita/d-8140929/kpk-pantau-dugaan-kebocoran-anggaran-haji-rp-5-t-ditindak-jika-ada-korupsi,berita
"Naik KRI, Prabowo Bakal Saksikan Sailing Pass Kapal TNI AL di Teluk Jakarta","PresidenPrabowo Subiantomenghadiri kegiatan 'Presidential Inspection' di Kapal Markas KRI dr Radjiman Wedyodiningrat-992. Kapal ini berlayar ke Teluk Jakarta untuk menyaksikan sailing pass kapal perang TNI AL.
Pantauandetikcom, Prabowo tiba di Markas Komando Lintas Laut Militer (Kolinlamil), Tanjung Priok, Jakarta Utara, Kamis (2/10/2025), sekitar pukul 10.00 WIB.
Prabowo mengenakan baju safari cokelat dan topi berwarna navy. Tiba di lokasi, Prabowo disambut pasukan prajurit TNI AL.
Prabowo lalu masuk ke KRI dr Radjiman Wedyodiningrat-992 yang akan bertolak ke Teluk Jakarta. Prabowo disambut sejumlah pejabat tinggi TNI AL.
Prabowo akan melihat parade puluhan kapal perang TNI AL yang menunjukkan kekuatan maritimnya. Parade dipimpin KRI Brawijaya-320, kapal perang terbesar di Asia Tenggara.
Dalam parade ini, TNI AL mengerahkan Pasukan Khusus Laut (Passusla) serta 51 unsur kapal perang yang terdiri dari 6 Fregat, 10 korvet, 2 kapal selam, 3 kapal LST dan LPD, 16 kapal cepat, 2 kapal ranjau, 6 kapal patroli, 4 kapal bantu dan 2 kapal patih taruna AAL yaitu KRI Dewaruci dan KRI Bima Suci.
Ada juga unsur kapal dari kedinasan lain seperti dari ADRI, Bakamla, Basarnas, Polairud, KKP, KPLP, dan perhimpunan kapal nelayan juga turut berlayar di belakang Parade Kapal Perang TNI AL
Selain itu, TNI AL juga memamerkan kekuatan Penerbangan Angkatan Laut (Penerbal) dengan menerbangkan Pesawat Udara di antaranya Bonanza, Piper, CN-235, Cassa NC-212, Heli Bell-412, serta Heli Panther serta 3 Unmanned Areial Vehicle (UAV) berupa drone nirawak.
Masyarakat yang hadir turut menyaksikan secara langsung tembakan meriam Kapal Perang, RBU-6000 anti Kapal Selam, serta tembakan Multi Launcher Rocket System (MLRS) RM-70 Grad yang on board di KRI Teluk Amboina-503.
Sailing pass ini merupakan kedua kalinya bagi Prabowo. Sebelumnya, Prabowo pernah berlayar bersama Presiden ke-7 Joko Widodo (Jokowi) pada 28 September 2024.
Dalam acara itu, Jokowi sekaligus menerima brevet kehormatan Hiu Kencana yang diserahkan langsung Panglima TNI Jenderal Agus Subiyanto.
Setelah itu, Jokowi, Prabowo dan sejumlah tokoh yang hadir menyaksikan sailing pass kapal perang TNI AL dan parade alutsista lainnya.
",https://news.detik.com/berita/d-8140926/naik-kri-prabowo-bakal-saksikan-sailing-pass-kapal-tni-al-di-teluk-jakarta,berita
MK Diminta Ubah Kategori Pemuda Jadi Warga Berusia 16-40 Tahun,"Batas usia atau kategori warga yang termasuk pemuda dalam UU Kepemudaan digugat keMahkamah Konstitusi(MK). Pemohon meminta MK mengubah kategori pemuda jadi warga berusia 16 hingga 40 tahun.
Dilihat dari situs resmi MK, Kamis (2/10/2025), gugatan itu teregistrasi dengan nomor 178/PUU-XXIII/2025. Pemohon dalam perkara ini ialah Husnul Jamil, Syafiqurrohman, Hamka Arsad Refra, dan Isbullah Djalil.
Mereka mengajukan gugatan terhadap Pasal 1 ayat 1 UU Nomor 40 Tahun 2009 tentang Kepemudaan. Berikut bunyi pasal yang digugat:

Pasal 1 ayat 1:
1. Pemuda adalah warga negara Indonesia yang memasuki periode penting pertumbuhan dan perkembangan yang berusia 16 (enam belas) sampai 30 (tiga puluh) tahun.
Dalam pertitumnya, pemohon meminta agar pasal tersebut diubah menjadi:
- Menyatakan pasal 1 ayat (1) UU nomor 40 tahun 2009 tentang Kepemudaan tidak mempunyai kekuatan hukum mengikat sepanjang tidak dimaknai:
'Pemuda adalah warga negara Indonesia yang memasuki periode penting pertumbuhan dan perkembangan yang berusia 16 (enam belas) sampai 40 (empat puluh) tahun'

Alasan Pemohon
Pemohon menganggap pasal 1 ayat 1 tersebut membatasi pemuda hanya orang yang berusia hingga 30 tahun. Padahal, menurut mereka, ada orang yang berusia di atas 30 tahun tetapi masih berada dalam fase kehidupan yang secara sosiologi, biologis, maupun psikologis tergolongyouthatau pemuda.
""Bahwa dengan adanya pembatasan usia pemuda hanya sampai 30 tahun, maka warga negara yang berusia 31-40 tahun kehilangan kesempatan untuk berpartisipasi dalam program-program kepemudaan negara, seperti beasiswa, kewirausahaan, kepemimpinan, dan forum kebangsaan, padahal mereka secara nyata masih dalam fase perkembangan diri dan perjuangan sosial,"" ujar pemohon.
Pemohon juga menganggap pembatasan usia pemuda sebagai 30 tahun menciptakan perlakuan hukum yang berbeda antara warga negara 30 tahun ke bawah dengan yang telah melewati 30 tahun. Padahal, kata pemohon, PBB menetapkan youth hingga 35 tahun.

""Bahkan di beberapa yurisdiksi sampai 40 tahun. Bahwa pembedaan tersebut tidak memiliki dasar ilmiah maupun proporsionalitas, sehingga bersifat arbitrer dan menimbulkan diskriminasi usia yang bertentangan dengan prinsip kepastian hukum yang adil,"" ujarnya.
Pemohon juga menganggap norma dalam pasal tersebut juga membatasi warga yang berusia 31-40 tahun untuk berserikat dan berkumpul dalam wadah kepemudaan yang dilindungi negara. Padahal, menurut mereka, hak berkumpul bersifat universal.",https://news.detik.com/berita/d-8140893/mk-diminta-ubah-kategori-pemuda-jadi-warga-berusia-16-40-tahun,berita
45 Siswa SMKN di Ngawi Mual-mual Usai Santap Menu MBG,"Puluhan siswa SMKN 1 Sine,Ngawi, Jawa Timur, dilarikan ke puskesmas setelah mengalami mual massal yang diduga akibat keracunan Makan Bergizi Gratis (MBG). Kejadian ini sontak membuat heboh lantaran jumlah siswa yang sakit terus bertambah hingga 45 orang.
Kapolsek Sine AKP Sugeng Wahyudi membenarkan insiden tersebut. Menurutnya, awalnya hanya satu siswi yang mengeluh mual sejak pagi. Namun, tak lama kemudian, jumlah siswa yang mengalami gejala serupa semakin banyak.
""Betul kita evakuasi ke Puskesmas Sine karena mual. Tapi kita belum bisa memastikan penyebab mual apa keracunan atau kenapa,"" ujar Sugeng, dilansirdetikJatim, Rabu (1/10/2025).



Sugeng menambahkan, pihaknya masih melakukan pendataan jumlah pasien di Puskesmas Sine.
""Kita masih pendataan dan diketahui mual tadi pagi awalnya satu dan terus bertambah,"" tandasnya.
Wakil Humas SMKN 1 Sine, Agus Anang Prabowo, menduga para siswa keracunan usai menyantap makanan MBG yang dibagikan pada Selasa (30/9). Menu yang disajikan saat itu berupa nasi dengan lauk ayam, capcai, dan daging. ""Kemarin (MBG) menu nasi lauk ayam sama capcai, dan daging,"" jelas Agus.
Baca berita selengkapnyadi sini.",https://news.detik.com/berita/d-8140890/45-siswa-smkn-di-ngawi-mual-mual-usai-santap-menu-mbg,berita
"Duh, Ini Biang Kerok PMI Terjerumus Masalah Hukum di Hong Kong","Hong Kong menjadi salah satu negara yang banyak menarik para Pekerja Migran Indonesia (PMI) untuk bekerja di sana. Daya tarik itu tidak terlepas dari standar upah yang jauh lebih tinggi dibandingkan kerja di dalam negeri.
Konsulat Jenderal Republik Indonesia (KJRI) di Hong Kong menyebutkan setidaknya ada 180 ribu warga negara Indonesia (WNI) yang tinggal di Hong Kong, sebanyak 160 ribunya yakni PMI.
""Dari data terakhir bulan lalu, kita ada 180 ribu WNI yang di bawah kita. PMI 160 ribu, jadi sekitar 90 persen dari WNI itu adalah PMI kita. Dan 98 persen dari PMI itu wanita,"" kata Konsul Jenderal KJRI Hong Kong Yul Edison kepada detikcom beberapa waktu lalu.
Dia menjelaskan ada sejumlah faktor yang menyebabkan PMI bisa terjerat masalah hukum di Hong Kong, salah satunya terkait jenjang pendidikan.

Secara jenjang pendidikan, mereka yang berangkat ke Hong Kong mayoritas merupakan lulusan SD dan sekolah menengah pertama (SMP). Menurutnya, jenjang pendidik yang tergolong rendah ini lah yang bisa menyebabkan PMI terjerumus masalah hukum saat di Hong Kong.
""Tantangan terbesar tentunya kita harus melihat dulu struktur dari PMI kita. Mereka 60 persen itu adalah lulusan SD. 30 persen itu lulusan sekolah menengah pertama. Dan mereka dengan tingkat pendidikan seperti itu, itu kan sangat polos ya. Dan sangat rentan terhadap adanya berbagai upaya-upaya pemanfaatan oleh pihak lain, penipuan oleh pihak lain. Itu tantangan terbesar yang kita hadapi,"" tuturnya.
Sementara itu, Konsul Kejaksaan KJRI Hong Kong, Henry Yoseph Kindangen mengatakan permasalahan hukum yang kerap dilanda PMI tidak hanya faktor pendidikan saja. Namun ada juga faktor lain, salah satunya prosedur masuk Hong Kong yang dilakukan oleh sejumlah oknum secara ilegal.
""Permasalahannya juga kompleks. Tadi tingkat pendidikan, ternyata juga kalau melihat perkara, mereka juga masuk secara legal,"" kata Yoseph.

Dia menambahkan keinginan para PMI untuk tinggal lebih lama di Hong Kong tanpa mengurus izin tinggal juga menjadi permasalahan tersendiri.
""Tetapi kemudian setelah di Hongkong banyak juga yang kemudian menjadi overstay, ingin tinggal di Hongkong secara tanpa izin. Dan kemudian terlibat di dalam berbagai macam permasalahan hukum yang sebetulnya lebih ke arah mereka tidak mengerti. Mereka tidak memiliki pemahaman yang utuh tentang bagaimana harus bersikap,"" tuturnya.
Apalagi, saat ini, kondisi PMI cenderung masih buta terhadap hukum. Hal ini memperparah potensi para PMII terjerumus masalah hukum.
""Nah, tapi karena mereka tidak mengalami pengalaman, tidak memiliki pengetahuan, akhirnya terjerumus ke dalam berbagai macam permasalahan hukum. Sementara hukum kan tidak melihat itu secara utuh. Yang penting mereka ada perbuatan, dianggap melanggar hukum, dan kemudian mereka harus berhadapan dengan itu,"" tutupnya.
detikcom bersama Kejaksaan Agung menghadirkan program khusus yang mengungkap realita penegakan hukum dan keadilan di Indonesia. Program ini tidak hanya menyorot upaya insan kejaksaan dalam menuntaskan kasus, namun juga mengungkap kisah dari dedikasi dan peran sosial para jaksa inspiratif.
Program ini diharapkan membuka cakrawala publik akan arti pentingnya institusi kejaksaan dalam kerangka pembangunan dan penegakan supremasi hukum di masyarakat. Saksikan selengkapnya di sini.
",https://news.detik.com/berita/d-8140852/duh-ini-biang-kerok-pmi-terjerumus-masalah-hukum-di-hong-kong,berita
